1134;SOVEREIGN KING SIZE;3.75 ;20;10;Cajetilla
1137;RAFAEL GONZ. PANETELAS EXT. (25);43.75 ;2;1;Caja
1140;BROOKLYN AZUL DURO;3.65 ;20;10;Cajetilla
1143;REX PLATA DURO;4.15 ;20;10;Cajetilla
1144;SILK CUT PURPLE;4.50 ;20;10;Cajetilla
1146;PALL MALL S.FRANCISCO/BLUE;3.95 ;20;10;Cajetilla
1148;HB RED;4.10 ;20;10;Cajetilla
1149;LA PAZ MINI WILDE CILLOS (20);5.50 ;20;10;Lata
1150;BONCALO DURO;4.15 ;20;10;Cajetilla
1153;MONTECRISTO MINI (20);9.60 ;10;5;Estuche
1155;PHILIP MORRIS SUPREME;4.25 ;20;10;Cajetilla
1156;AGIO MEHARI S JAVA (20);4.90 ;20;10;Estuche
1158;GAULOISES RUBIO ROJO;3.95 ;20;10;Cajetilla
1160;PANTER BLUE . (20);4.90 ;20;10;Estuche
1171;PICADURA SELECTA (40G);5.80 ;20;10;Bolsa
1173;MINI DAVIDOFF (20);11.60 ;20;10;Estuche
1174;GAULOISES RUBIO AZUL;3.95 ;20;10;Cajetilla
1175;CAMEL NON FILTER SOFT;4.20 ;20;10;Cajetilla
